,Unnamed: 0,name,year,score,voters_count,plot
0,0, Road House,1989,6.7,92K,"A bouncer hired to clean up the baddest honkytonk in a Missouri town. Armed with a black belt in karate and a Ph.D. in philosophy, Patrick Swayze sets out to tame the Double Deuce for its owner."
1,1, Dune,1984,6.3,177K,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
2,2, Beetlejuice,1988,7.5,337K,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
3,3, Ghostbusters,1984,7.8,445K,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
4,4, The Crow,1994,7.5,201K,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.
5,5, The Shawshank Redemption,1994,9.3,2.9M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
6,6, The Godfather,1972,9.2,2M,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
7,7, Come and See,1985,8.4,96K,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
8,8, The Vanishing,1988,7.7,44K,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
9,9, Eternal Sunshine of the Spotless Mind,2004,8.3,1.1M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
10,10, Pulp Fiction,1994,8.9,2.2M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
11,11, Blade Runner,1982,8.1,820K,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
12,12, Titanic,1997,7.9,1.3M,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
13,13, Harry Potter and the Sorcerer's Stone,2001,7.6,853K,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
14,14, The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
15,15, Fight Club,1999,8.8,2.3M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
16,16, Mean Girls,2004,7.1,433K,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
17,17, Alien,1979,8.5,946K,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.
18,18, The Fifth Element,1997,7.6,504K,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
19,19, Gladiator,2000,8.5,1.6M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
20,20, Starship Troopers,1997,7.3,320K,"Humans, in a fascist militaristic future, wage war with giant alien bugs."
21,21, The Matrix,1999,8.7,2M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
22,22, Leprechaun,1992,4.8,30K,"An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold."
23,23, Se7en,1995,8.6,1.8M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
24,24, Schindler's List,1993,9.0,1.4M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
25,25, The Silence of the Lambs,1991,8.6,1.5M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
26,26, Goodfellas,1990,8.7,1.3M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
27,27, Snatch,2000,8.2,907K,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
28,28, Aliens,1986,8.4,760K,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
29,29, Good Will Hunting,1997,8.3,1.1M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
30,30, The Abyss,1989,7.5,192K,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.
31,31, Willy Wonka & the Chocolate Factory,1971,7.8,226K,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
32,32, Léon: The Professional,1994,8.5,1.2M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
33,33, The Lord of the Rings: The Return of the King,2003,9.0,2M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
